#,id,name,supertype,hp,types,rarity,retreatCost,convertedRetreatCost,AbilityName,AbilityText,Attack1Name,Attack1Cost,Attack1ConvertedCost,Attack1Damage,DamageFormula,Attack1Text
6222,swsh4-100,Clobbopus,Pokemon,80,Fighting,Common,"Colorless, Colorless",2,,,Hammer In,"Fighting, Colorless",2,40,,
6251,swsh4-120,Lucario,Pokemon,130,Metal,Rare,"Colorless, Colorless",2,,,Spike Draw,Metal,1,40,,Draw a card.
6267,swsh4-132,Lugia,Pokemon,130,Colorless,Rare Holo,"Colorless, Colorless",2,,,Gust,"Colorless, Colorless",2,40,,
6271,swsh4-134,Swellow,Pokemon,90,Colorless,Uncommon,,0,,,Energy Assist,"Colorless, Colorless",2,40,,Attach up to 2 basic Energy cards from your discard pile to 1 of your Benched Pokemon.
6289,swsh45-3,Celebi,Pokemon,70,Grass,Rare,Colorless,1,Woodland Stroll,"Once during your turn, if this Pokemon is in the Active Spot, you may look at the top 6 cards of your deck, reveal an Energy card you find there, and put it into your hand. Shuffle the other cards back into your deck.",Leaf Step,"Grass, Colorless, Colorless",3,40,,
6294,swsh45-7,Dartrix,Pokemon,80,Grass,Uncommon,Colorless,1,,,Razor Leaf,Grass,1,40,,
6322,swsh45-35,Morpeko,Pokemon,80,Lightning,Common,Colorless,1,,,Thunder Shock,"Lightning, Colorless",2,40,,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
6324,swsh45-36,Morpeko,Pokemon,80,Lightning,Common,Colorless,1,,,Thunder Shock,"Lightning, Colorless",2,40,,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
6339,swsh5-2,Weepinbell,Pokemon,80,Grass,Uncommon,"Colorless, Colorless",2,Dangerous Mucus,"When you play this Pokemon from your hand to evolve 1 of your Pokemon during your turn, you may make your opponent's Active Pokemon Burned and Poisoned.",Vine Whip,"Grass, Colorless, Colorless",3,40,,
6340,swsh5-3,Victreebel,Pokemon,150,Grass,Rare,"Colorless, Colorless, Colorless",3,,,Panic Vine,Grass,1,40,,"Your opponent's Active Pokemon is now Confused. During your opponent's next turn, that Pokemon can't retreat."
6354,swsh5-12,Spewpa,Pokemon,80,Grass,Uncommon,"Colorless, Colorless, Colorless",3,,,Bug Bite,"Grass, Colorless, Colorless",3,40,,
6378,swsh5-32,Seadra,Pokemon,90,Water,Uncommon,Colorless,1,,,Water Gun,Water,1,40,,
6479,swsh5-106,Doublade,Pokemon,80,Metal,Uncommon,"Colorless, Colorless",2,,,Cut Down,"Metal, Colorless",2,40,,"Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon."
6489,swsh5-115,Glameow,Pokemon,60,Colorless,Common,Colorless,1,,,Claw Slash,"Colorless, Colorless, Colorless",3,40,,
6551,swsh6-42,Drizzile,Pokemon,90,Water,Uncommon,Colorless,1,,,Bounce,"Colorless, Colorless",2,40,,Switch this Pokemon with 1 of your Benched Pokemon.
6553,swsh6-44,Rapid Strike Urshifu,Pokemon,140,Water,Rare Holo,"Colorless, Colorless",2,,,Slashing Claw,Colorless,1,40,,
6593,swsh6-79,Galarian Sirfetch'd,Pokemon,130,Fighting,Rare,"Colorless, Colorless",2,,,Peck,Fighting,1,40,,
6632,swsh6-114,Cobalion,Pokemon,120,Metal,Rare Holo,"Colorless, Colorless",2,,,Headbang,"Metal, Colorless",2,40,,
6704,swsh7-53,Lanturn,Pokemon,120,Lightning,Uncommon,"Colorless, Colorless",2,,,Blinding Beam,"Lightning, Colorless",2,40,,"During your opponent's next turn, if the Defending Pokemon tries to attack, your opponent flips a coin. If tails, that attack doesn't happen."
6709,swsh7-56,Ampharos,Pokemon,150,Lightning,Rare,"Colorless, Colorless",2,,,Thunder Shock,Lightning,1,40,,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
6721,swsh7-67,Sableye,Pokemon,70,Psychic,Common,Colorless,1,,,Corner,"Psychic, Colorless",2,40,,"During your opponent's next turn, the Defending Pokemon can't retreat."
6736,swsh7-81,Hitmonchan,Pokemon,110,Fighting,Common,Colorless,1,,,Bullet Straight Punch,"Fighting, Colorless",2,40,,This attack's damage isn't affected by Resistance.
6757,swsh7-99,Scrafty,Pokemon,120,Darkness,Uncommon,"Colorless, Colorless",2,,,Headbutt,"Colorless, Colorless",2,40,,
6772,swsh7-114,Zweilous,Pokemon,100,Dragon,Uncommon,"Colorless, Colorless",2,,,Bite,"Psychic, Darkness",2,40,,
6790,swsh7-127,Ursaring,Pokemon,140,Colorless,Uncommon,"Colorless, Colorless, Colorless",3,,,Slash,Colorless,1,40,,
6809,swsh7-140,Talonflame,Pokemon,140,Colorless,Rare,,0,,,Clutch,Colorless,1,40,,"During your opponent's next turn, the Defending Pokemon can't retreat."
6835,swsh8-17,Trevenant,Pokemon,120,Grass,Uncommon,"Colorless, Colorless",2,,,Gentle Slap,"Grass, Colorless",2,40,,
6852,swsh8-33,Arcanine,Pokemon,130,Fire,Rare,"Colorless, Colorless",2,,,Fire Claws,Fire,1,40,,
6856,swsh8-35,Magcargo,Pokemon,130,Fire,Uncommon,"Colorless, Colorless, Colorless",3,,,Rock Throw,"Colorless, Colorless",2,40,,
6921,swsh8-88,Electrode,Pokemon,90,Lightning,Rare,Colorless,1,,,Sonic Boom,Colorless,1,40,,This attack's damage isn't affected by Weakness or Resistance.
6936,swsh8-97,Eelektross,Pokemon,160,Lightning,Rare,"Colorless, Colorless, Colorless",3,,,Upper Shock,Lightning,1,40,,"If this Pokemon evolved from Eelektrik during this turn, your opponent's Active Pokemon is now Paralyzed."
7015,swsh8-151,Bewear,Pokemon,130,Fighting,Uncommon,"Colorless, Colorless, Colorless",3,,,Split Spiral Punch,"Fighting, Colorless",2,40,,Your opponent's Active Pokemon is now Confused.
7019,swsh8-153,Grapploct,Pokemon,130,Fighting,Uncommon,"Colorless, Colorless",2,,,Lunge Out,"Fighting, Colorless",2,40,,
7054,swsh8-177,Morgrem,Pokemon,90,Darkness,Uncommon,"Colorless, Colorless",2,,,Crushing Blow,"Darkness, Darkness",2,40,,"Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon."
7169,swsh9-43,Beartic,Pokemon,140,Water,Uncommon,"Colorless, Colorless, Colorless",3,,,Sheer Cold,"Water, Colorless",2,40,,"During your opponent's next turn, the Defending Pokemon can't attack."
7191,swsh9-59,Claydol,Pokemon,110,Psychic,Uncommon,"Colorless, Colorless",2,,,Spinning Attack,"Colorless, Colorless",2,40,,
7271,swsh9-125,Cinccino,Pokemon,90,Colorless,Uncommon,Colorless,1,,,Slap,Colorless,1,40,,
7282,swshp-SWSH009,Cinccino,Pokemon,90,Colorless,Promo,Colorless,1,Make Do,"You must discard a card from your hand in order to use this Ability. Once during your turn, you may draw 2 cards.",Energy Assist,Colorless,1,40,,Attach a basic Energy card from your discard pile to 1 of your Benched Pokemon.
7298,swshp-SWSH027,Noctowl,Pokemon,110,Colorless,Promo,Colorless,1,,,Wing Attack,"Colorless, Colorless",2,40,,
7305,swshp-SWSH031,Morpeko,Pokemon,80,Lightning,Promo,Colorless,1,,,Thunder Shock,"Lightning, Colorless",2,40,,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
7344,swshp-SWSH069,Lugia,Pokemon,130,Colorless,Promo,"Colorless, Colorless",2,,,Gust,"Colorless, Colorless",2,40,,
7378,swshp-SWSH116,Morpeko,Pokemon,80,Lightning,Promo,Colorless,1,,,Thunder Shock,"Lightning, Colorless",2,40,,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
7401,swshp-SWSH136,Mimikyu δ,Pokemon,70,Water,Promo,Colorless,1,,,Wet Claw,"Water, Colorless",2,40,,Put an Energy attached to your opponent's Active Pokemon into their hand.
7476,swshp-SWSH275,Manaphy,Pokemon,70,Water,Promo,Colorless,1,,,Aqua Bullet,"Water, Colorless",2,40,,This attack also does 20 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)
5,sm1-3,Butterfree,Pokemon,130,Grass,Rare,Colorless,1,,,Psy Bolt,Colorless,1,30,,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
7,sm1-4,Paras,Pokemon,60,Grass,Common,Colorless,1,,,Scratch,"Grass, Colorless",2,30,,
13,sm1-8,Masquerain,Pokemon,90,Grass,Rare,,0,,,Struggle Bug,Colorless,1,30,,Move an Energy from your opponent's Active Pokemon to 1 of their Benched Pokemon.
25,sm1-17,Shiinotic,Pokemon,100,Grass,Rare Holo,"Colorless, Colorless",2,Illuminate,"Once during your turn (before your attack), you may search your deck for a Grass Pokemon, reveal it, and put it into your hand. Then, shuffle your deck.",Flickering Spores,"Grass, Colorless",2,30,,Your opponent's Active Pokemon is now Asleep.
40,sm1-26,Incineroar,Pokemon,160,Fire,Rare,"Colorless, Colorless, Colorless",3,,,Fire Fang,"Fire, Colorless",2,30,,Your opponent's Active Pokemon is now Burned.
49,sm1-32,Poliwrath,Pokemon,150,Water,Rare Holo,"Colorless, Colorless, Colorless",3,,,Split Spiral Punch,Water,1,30,,Your opponent's Active Pokemon is now Confused.
61,sm1-40,Brionne,Pokemon,90,Water,Uncommon,"Colorless, Colorless",2,,,Wave Splash,"Water, Colorless",2,30,,
63,sm1-41,Primarina,Pokemon,150,Water,Rare,"Colorless, Colorless",2,,,Disarming Voice,"Water, Colorless",2,30,,Your opponent's Active Pokemon is now Confused.
74,sm1-49,Chinchou,Pokemon,70,Lightning,Common,Colorless,1,,,Electro Ball,"Lightning, Colorless, Colorless",3,30,,
103,sm1-70,Boldore,Pokemon,110,Fighting,Uncommon,"Colorless, Colorless, Colorless, Colorless",4,,,Headbutt,"Fighting, Colorless",2,30,,
112,sm1-74,Sandygast,Pokemon,80,Fighting,Common,"Colorless, Colorless, Colorless",3,,,Sand Tomb,"Fighting, Colorless, Colorless",3,30,,The Defending Pokemon can't retreat during your opponent's next turn.
124,sm1-83,Sandile,Pokemon,70,Darkness,Common,"Colorless, Colorless",2,,,Crunch,"Darkness, Darkness, Colorless",3,30,,"Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon."
135,sm1-91,Granbull,Pokemon,110,Fairy,Uncommon,"Colorless, Colorless",2,,,Dark Clamp,Fairy,1,30,,The Defending Pokemon can't retreat during your opponent's next turn.
138,sm1-93,Ribombee,Pokemon,60,Fairy,Rare Holo,Colorless,1,Curative Pollen,"Once during your turn (before your attack), you may heal 20 damage from 1 of your Pokemon.",Fairy Wind,Fairy,1,30,,
152,sm1-102,Spinda,Pokemon,80,Colorless,Uncommon,Colorless,1,,,Teeter Punch,Colorless,1,30,,Your opponent's Active Pokemon is now Confused.
164,sm1-111,Stufful,Pokemon,70,Colorless,Common,"Colorless, Colorless",2,,,Tackle,"Colorless, Colorless",2,30,,
169,sm10-3,Metapod,Pokemon,70,Grass,Uncommon,"Colorless, Colorless, Colorless",3,Emerge,"Once during your turn (before your attack), you may flip a coin. If heads, search your deck for a card that evolves from this Pokemon and put it onto this Pokemon to evolve it. Then, shuffle your deck.",Bug Bite,"Grass, Colorless, Colorless",3,30,,
175,sm10-7,Gloom,Pokemon,80,Grass,Uncommon,"Colorless, Colorless",2,Irresistible Aroma,"Once during your turn (before your attack), if your opponent's Bench isn't full, you may flip a coin. If heads, your opponent reveals their hand. Put a Basic Pokemon you find there onto their Bench.",Drool,"Grass, Colorless",2,30,,
181,sm10-11,Venomoth,Pokemon,90,Grass,Rare,,0,,,Poison Powder,Grass,1,30,,Your opponent's Active Pokemon is now Poisoned.
184,sm10-14,Weepinbell,Pokemon,80,Grass,Uncommon,"Colorless, Colorless",2,,,Ram,"Colorless, Colorless",2,30,,
188,sm10-16,Tangela,Pokemon,80,Grass,Common,"Colorless, Colorless",2,,,Gentle Slap,"Colorless, Colorless",2,30,,
189,sm10-17,Tangrowth,Pokemon,130,Grass,Rare,"Colorless, Colorless, Colorless",3,,,Bind Down,Grass,1,30,,The Defending Pokemon can't retreat during your opponent's next turn.
192,sm10-18,Grubbin,Pokemon,60,Grass,Common,"Colorless, Colorless",2,,,Corkscrew Punch,"Colorless, Colorless, Colorless",3,30,,
196,sm10-21,Growlithe,Pokemon,80,Fire,Common,"Colorless, Colorless",2,,,Combustion,"Fire, Fire",2,30,,
229,sm10-44,Seel,Pokemon,80,Water,Common,"Colorless, Colorless",2,,,Horn Attack,"Colorless, Colorless",2,30,,
244,sm10-54,Pikachu,Pokemon,70,Lightning,Common,Colorless,1,,,Pika Ball,"Lightning, Colorless",2,30,,
247,sm10-56,Stunfisk,Pokemon,110,Lightning,Rare,"Colorless, Colorless, Colorless",3,,,Raging Thunder,Colorless,1,30,,This attack does 10 damage to 1 of your Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)
255,sm10-63,Arbok,Pokemon,120,Psychic,Rare,"Colorless, Colorless",2,,,Wrap,Colorless,1,30,,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
267,sm10-71,Drowzee,Pokemon,70,Psychic,Common,"Colorless, Colorless",2,,,Psypunch,"Psychic, Colorless, Colorless",3,30,,
281,sm10-83,Sandshrew,Pokemon,70,Fighting,Common,Colorless,1,,,Rolling Tackle,"Fighting, Colorless, Colorless",3,30,,
297,sm10-93,Rhyhorn,Pokemon,90,Fighting,Common,"Colorless, Colorless, Colorless, Colorless",4,,,Horn Attack,"Colorless, Colorless",2,30,,
303,sm10-96,Wooper,Pokemon,70,Fighting,Common,Colorless,1,,,Mud Bomb,"Water, Water",2,30,,
324,sm10-114,Sandile,Pokemon,70,Darkness,Common,"Colorless, Colorless",2,,,Grandiose Fangs,"Colorless, Colorless, Colorless",3,30,,"If your opponent's Pokemon is Knocked Out by damage from this attack, this Pokemon's attacks do 120 more damage to your opponent's Active Pokemon during your next turn (before applying Weakness and Resistance)."
344,sm10-127,Genesect,Pokemon,130,Metal,Rare,"Colorless, Colorless",2,Fast-Flight Configuration,"If your opponent has any Pokemon-GX or Pokemon-EX in play, this Pokemon has no Retreat Cost.",Splitting Beam,"Metal, Colorless, Colorless",3,30,,This attack does 30 damage to 2 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)
354,sm10-137,Togetic,Pokemon,80,Fairy,Uncommon,Colorless,1,,,Magical Shot,"Fairy, Colorless",2,30,,
360,sm10-142,Aromatisse,Pokemon,90,Fairy,Rare,Colorless,1,,,Miraculous Cologne,"Colorless, Colorless",2,30,,"Flip a coin. If heads, choose a Special Condition. Your opponent's Active Pokemon is now affected by that Special Condition."
361,sm10-143,Rattata,Pokemon,30,Colorless,Common,Colorless,1,,,Gnaw,Colorless,1,30,,
367,sm10-147,Meowth,Pokemon,60,Colorless,Common,Colorless,1,,,Tail Whap,"Colorless, Colorless",2,30,,
373,sm10-152,Lickitung,Pokemon,90,Colorless,Common,"Colorless, Colorless",2,,,Lick,"Colorless, Colorless",2,30,,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
381,sm10-156,Porygon2,Pokemon,80,Colorless,Uncommon,"Colorless, Colorless",2,,,Spinning Attack,"Colorless, Colorless",2,30,,
386,sm10-160,Purugly,Pokemon,120,Colorless,Rare,"Colorless, Colorless, Colorless",3,,,Stray Cat Dash,"Colorless, Colorless",2,30,,"Discard a random card from your opponent's hand. If this Pokemon evolved from Glameow during this turn, discard 2 cards instead of 1."
458,sm11-52,Pyukumuku,Pokemon,80,Water,Uncommon,Colorless,1,,,Rain Splash,"Water, Colorless",2,30,,
480,sm11-69,Tapu Koko,Pokemon,120,Lightning,Rare Holo,Colorless,1,,,Electro Ball,Lightning,1,30,,
485,sm11-74,Exeggutor,Pokemon,140,Psychic,Rare,"Colorless, Colorless, Colorless",3,,,Mind Bend,Colorless,1,30,,Your opponent's Active Pokemon is now Confused.
489,sm11-76,Jynx,Pokemon,80,Psychic,Uncommon,Colorless,1,Ominous Posture,"Once during your turn (before your attack), you may move 1 damage counter from 1 of your Pokemon to another of your Pokemon.",Attract Smack,"Psychic, Colorless",2,30,,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
494,sm11-83,Uxie,Pokemon,70,Psychic,Rare Holo,Colorless,1,Secret Territory,"If you have Mesprit and Azelf in play, apply Weakness for each Pokemon (both yours and your opponent's) as x4 instead.",Psyshot,"Colorless, Colorless, Colorless",3,30,,
510,sm11-94,Doublade,Pokemon,90,Psychic,Uncommon,"Colorless, Colorless, Colorless",3,,,Slashing Cutter,Colorless,1,30,,This attack's damage isn't affected by Weakness or Resistance.
515,sm11-98,Salandit,Pokemon,70,Psychic,Common,Colorless,1,,,Gnaw,"Psychic, Colorless",2,30,,
519,sm11-101,Necrozma,Pokemon,130,Psychic,Rare,"Colorless, Colorless",2,,,Barrier Attack,"Colorless, Colorless",2,30,,"During your opponent's next turn, this Pokemon takes 30 less damage from attacks (after applying Weakness and Resistance)."
536,sm11-111,Relicanth,Pokemon,90,Fighting,Uncommon,Colorless,1,,,Water Pulse,"Colorless, Colorless",2,30,,Your opponent's Active Pokemon is now Asleep.
538,sm11-112,Gible,Pokemon,60,Fighting,Common,Colorless,1,,,Headbutt Bounce,"Fighting, Colorless",2,30,,
557,sm11-127,Alolan Grimer,Pokemon,80,Darkness,Common,"Colorless, Colorless",2,,,Sludge Bomb,"Colorless, Colorless, Colorless",3,30,,
562,sm11-131,Sneasel,Pokemon,70,Darkness,Common,Colorless,1,,,Slash,"Darkness, Colorless",2,30,,
584,sm11-149,Dragonair,Pokemon,100,Dragon,Uncommon,"Colorless, Colorless",2,,,Twister,"Water, Lightning",2,30,,"Flip 2 coins. For each heads, discard an Energy from your opponent's Active Pokemon. If both of them are tails, this attack does nothing."
591,sm11-155,Fraxure,Pokemon,90,Dragon,Uncommon,"Colorless, Colorless",2,,,Guard Press,"Colorless, Colorless",2,30,,"During your opponent's next turn, this Pokemon takes 30 less damage from attacks (after applying Weakness and Resistance)."
607,sm11-165,Hoothoot,Pokemon,60,Colorless,Common,Colorless,1,,,Air Slash,"Colorless, Colorless",2,30,,Discard an Energy from this Pokemon.
612,sm11-168,Slakoth,Pokemon,70,Colorless,Common,"Colorless, Colorless, Colorless",3,,,Scratch,"Colorless, Colorless",2,30,,
626,sm11-177,Audino,Pokemon,90,Colorless,Uncommon,Colorless,1,Hearing,"Once during your turn (before your attack), if this Pokemon is your Active Pokemon, you may draw a card.",Drain Slap,"Colorless, Colorless",2,30,,Heal 30 damage from this Pokemon.
630,sm11-180,Yungoos,Pokemon,70,Colorless,Common,Colorless,1,,,Cavernous Chomp,"Colorless, Colorless",2,30,,
640,sm115-2,Metapod,Pokemon,90,Grass,Uncommon,"Colorless, Colorless",2,,,Tackle,"Grass, Colorless",2,30,,
645,sm115-5,Scyther,Pokemon,100,Grass,Uncommon,Colorless,1,,,Sharp Scythe,"Grass, Colorless",2,30,,
648,sm115-8,Charmeleon,Pokemon,100,Fire,Uncommon,Colorless,1,,,Slash,"Fire, Colorless",2,30,,
656,sm115-18,Vaporeon,Pokemon,120,Water,Rare Holo,"Colorless, Colorless, Colorless",3,,,Water Gun,"Water, Colorless",2,30,,
661,sm115-22,Electrode,Pokemon,100,Lightning,Rare,Colorless,1,,,Lightning Ball,Lightning,1,30,,
667,sm115-26,Ekans,Pokemon,60,Psychic,Common,Colorless,1,,,Tail Whap,"Colorless, Colorless",2,30,,
672,sm115-30,Jynx,Pokemon,100,Psychic,Uncommon,Colorless,1,,,Lovely Kiss,"Psychic, Colorless",2,30,,
675,sm115-34,Graveler,Pokemon,100,Fighting,Uncommon,"Colorless, Colorless, Colorless",3,,,Tackle,"Colorless, Colorless",2,30,,
683,sm115-39,Clefairy,Pokemon,60,Fairy,Common,Colorless,1,,,Moon Dance,"Fairy, Colorless",2,30,,
687,sm115-41,Jigglypuff,Pokemon,70,Fairy,Common,Colorless,1,,,Rollout,"Fairy, Colorless",2,30,,
690,sm115-45,Farfetch'd,Pokemon,80,Colorless,Uncommon,Colorless,1,,,Leek Slap,"Colorless, Colorless",2,30,,
694,sm115-48,Eevee,Pokemon,60,Colorless,Rare Holo,Colorless,1,,,Spin Tackle,"Colorless, Colorless",2,30,,"Flip a coin. If tails, this Pokemon does 10 damage to itself."
718,sm12-17,Rowlet,Pokemon,50,Grass,Common,Colorless,1,,,Tackle,"Colorless, Colorless",2,30,,
721,sm12-19,Dartrix,Pokemon,80,Grass,Uncommon,Colorless,1,,,Wing Flick,"Colorless, Colorless",2,30,,Your opponent switches their Active Pokemon with 1 of their Benched Pokemon.
727,sm12-24,Rapidash,Pokemon,100,Fire,Uncommon,,0,,,Overrun,Fire,1,30,,This attack does 30 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)
737,sm12-30,Victini,Pokemon,70,Fire,Rare Holo,Colorless,1,Victory Heal,"Once during your turn (before your attack), you may heal 20 damage from 1 of your Benched Pokemon.",Combustion,"Fire, Colorless",2,30,,
740,sm12-32,Pignite,Pokemon,110,Fire,Uncommon,"Colorless, Colorless, Colorless, Colorless",4,,,Tackle,"Fire, Colorless",2,30,,
752,sm12-41,Golduck,Pokemon,110,Water,Uncommon,Colorless,1,,,Scratch,Colorless,1,30,,
758,sm12-45,Wailmer,Pokemon,120,Water,Common,"Colorless, Colorless, Colorless",3,,,Wave Splash,"Colorless, Colorless",2,30,,
762,sm12-48,Glalie,Pokemon,120,Water,Rare,"Colorless, Colorless, Colorless",3,,,Ice Fang,Water,1,30,,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed, and discard an Energy from that Pokemon."
766,sm12-50,Spheal,Pokemon,70,Water,Common,"Colorless, Colorless",2,,,Body Slam,"Water, Colorless, Colorless",3,30,,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
783,sm12-61,Black Kyurem,Pokemon,130,Water,Rare Holo,"Colorless, Colorless, Colorless",3,,,Frozen Wings,"Colorless, Colorless",2,30,,Discard a Special Energy from your opponent's Active Pokemon.
802,sm12-74,Togedemaru,Pokemon,70,Lightning,Common,Colorless,1,,,Thunder Shock,"Lightning, Colorless",2,30,,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
819,sm12-87,Woobat,Pokemon,60,Psychic,Common,Colorless,1,,,Air Cutter,Psychic,1,30,,"Flip a coin. If tails, this attack does nothing."
849,sm12-108,Trapinch,Pokemon,60,Fighting,Common,Colorless,1,,,Dig,"Fighting, Colorless",2,30,,"Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokemon during your opponent's next turn."
868,sm12-121,Crabrawler,Pokemon,80,Fighting,Common,"Colorless, Colorless",2,,,Confront,"Fighting, Colorless",2,30,,
890,sm12-135,Bisharp,Pokemon,120,Darkness,Uncommon,Colorless,1,,,Corner,Colorless,1,30,,The Defending Pokemon can't retreat during your opponent's next turn.
896,sm12-138,Alolan Sandslash,Pokemon,120,Metal,Rare,Colorless,1,,,Curve Strike,,0,30,,"Flip a coin. If heads, prevent all damage done to this Pokemon by attacks during your opponent's next turn."
912,sm12-151,Floette,Pokemon,70,Fairy,Uncommon,Colorless,1,Flower Picking,"When you play this Pokemon from your hand to evolve 1 of your Pokemon during your turn, you may choose 2 random cards from your opponent's hand. Your opponent reveals those cards and shuffles them into their deck.",Magical Shot,"Fairy, Colorless",2,30,,
917,sm12-155,Sylveon,Pokemon,110,Fairy,Rare,"Colorless, Colorless",2,,,Moonblast,Fairy,1,30,,"During your opponent's next turn, the Defending Pokemon's attacks do 30 less damage (before applying Weakness and Resistance)."
924,sm12-162,Hakamo-o,Pokemon,80,Dragon,Uncommon,"Colorless, Colorless",2,Fighter's Roar,"If your opponent's Active Pokemon is a Pokemon-GX or Pokemon-EX, this Pokemon can evolve during the turn you play it.",Dragonslice,"Lightning, Fighting",2,30,,
947,sm12-178,Braviary,Pokemon,130,Colorless,Rare,Colorless,1,,,Clutch,Colorless,1,30,,The Defending Pokemon can't retreat during your opponent's next turn.
950,sm12-179,Helioptile,Pokemon,60,Colorless,Common,Colorless,1,,,Rear Kick,"Colorless, Colorless, Colorless",3,30,,
956,sm2-1,Bellsprout,Pokemon,60,Grass,Common,Colorless,1,,,Vine Whip,"Grass, Colorless",2,30,,
972,sm2-12,Lampent,Pokemon,80,Fire,Uncommon,Colorless,1,,,Will-O-Wisp,Fire,1,30,,
975,sm2-14,Oricorio,Pokemon,90,Fire,Rare,Colorless,1,,,Kindle,"Fire, Fire",2,30,,"Discard an Energy from this Pokemon. If you do, discard an Energy from your opponent's Active Pokemon."
979,sm2-17,Turtonator,Pokemon,110,Fire,Rare,"Colorless, Colorless, Colorless",3,,,Body Slam,"Colorless, Colorless",2,30,,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
982,sm2-19,Alolan Sandshrew,Pokemon,60,Water,Common,Colorless,1,,,Ice Ball,"Water, Colorless, Colorless",3,30,,
984,sm2-19a,Alolan Sandshrew,Pokemon,60,Water,Common,Colorless,1,,,Ice Ball,"Water, Colorless, Colorless",3,30,,
991,sm2-24,Tentacruel,Pokemon,110,Water,Uncommon,"Colorless, Colorless",2,,,Poison Sting,"Colorless, Colorless",2,30,,Your opponent's Active Pokemon is now Poisoned.
1032,sm2-50,Trubbish,Pokemon,70,Psychic,Common,"Colorless, Colorless",2,,,Drool,"Psychic, Colorless, Colorless",3,30,,
1039,sm2-53,Gothorita,Pokemon,80,Psychic,Uncommon,"Colorless, Colorless",2,,,Psybeam,"Psychic, Colorless",2,30,,Your opponent's Active Pokemon is now Confused.
1042,sm2-55,Oricorio,Pokemon,90,Psychic,Rare,Colorless,1,Vital Dance,"When you play this Pokemon from your hand onto your Bench during your turn, you may search your deck for up to 2 basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.",Casual Slap,"Psychic, Colorless",2,30,,
1044,sm2-56,Oricorio,Pokemon,90,Psychic,Rare,Colorless,1,,,Revelation Dance,Colorless,1,30,,"If there is no Stadium card in play, this attack does nothing."
1067,sm2-73,Rockruff,Pokemon,60,Fighting,Common,Colorless,1,,,Wild Kick,"Colorless, Colorless",2,30,,"Flip a coin. If tails, this attack does nothing."
1085,sm2-86,Probopass,Pokemon,130,Metal,Rare,"Colorless, Colorless, Colorless, Colorless",4,,,Energy Link,Metal,1,30,,Attach an Energy card from your discard pile to this Pokemon.
1095,sm2-91,Whimsicott,Pokemon,80,Fairy,Uncommon,,0,,,Fairy Wind,Fairy,1,30,,
1096,sm2-93,Comfey,Pokemon,70,Fairy,Rare Holo,Colorless,1,Flower Shield,Each of your Pokemon that has any Fairy Energy attached to it can't be affected by any Special Conditions. Remove any Special Conditions affecting those Pokemon.,Sweet Kiss,"Fairy, Colorless",2,30,,Your opponent draws a card.
1105,sm2-98,Jangmo-o,Pokemon,60,Dragon,Common,"Colorless, Colorless",2,Bulletproof,This Pokemon takes 10 less damage from attacks (after applying Weakness and Resistance).,Dragon Claw,"Lightning, Fighting",2,30,,
1106,sm2-99,Hakamo-o,Pokemon,90,Dragon,Uncommon,"Colorless, Colorless",2,,,Headbutt,Colorless,1,30,,
1115,sm2-105,Castform,Pokemon,70,Colorless,Common,Colorless,1,,,Water Pulse,"Colorless, Colorless",2,30,,Your opponent's Active Pokemon is now Asleep.
1116,sm2-106,Rayquaza,Pokemon,120,Colorless,Rare,Colorless,1,,,Turbo Storm,"Colorless, Colorless",2,30,,Attach 2 basic Energy cards from your discard pile to 1 of your Benched Pokemon.
1126,sm2-111,Talonflame,Pokemon,130,Colorless,Rare,,0,,,Flame Charge,Colorless,1,30,,"Search your deck for a Fire Energy card and attach it to this Pokemon. Then, shuffle your deck."
1139,sm3-5,Gloom,Pokemon,80,Grass,Uncommon,"Colorless, Colorless",2,,,Razor Leaf,"Grass, Colorless",2,30,,
